('空调', '出风口', '1026364120', '3')
('空调', '异味', '-1441985586', '3')
('空调', '故障', '-1441985586', '2')
('侧裙', '凹陷', '-1060618751', '2')
('侧裙', '凹', '-1060618751', '3')
('凹', '进去', '-1060618751', '3')
('收音机', '天线', '-1618150826', '3')
('天线', '变形', '-1618150826', '3')
('天线', '变形', '-1618150826', '2')
('收音机', '故障', '-1618150826', '2')
('电子', '制', '-72032109', '4')
('制', '动力', '-72032109', '4')
('动力', '分配', '-72032109', '4')
('制', '动力', '-72032109', '3')
('动力', '分配', '-72032109', '3')
('电子', '制', '-72032109', '5')
('制', '动力', '-72032109', '5')
('动力', '分配', '-72032109', '5')
('分配', '系统', '-72032109', '5')
('第二排', '空调', '1774163255', '5')
('空调', '出风口', '1774163255', '5')
('出风口', '不', '1774163255', '5')
('不', '制冷', '1774163255', '5')
('出风口', '制冷', '1774163255', '5')
('制冷', '失效', '1774163255', '5')
('第二排', '出风口', '1774163255', '4')
('出风口', '制冷', '1774163255', '4')
('制冷', '失效', '1774163255', '4')
('出风口', '不', '1774163255', '4')
('不', '制冷', '1774163255', '4')
('空调', '故障', '1774163255', '2')
('自动', '驻车', '-1061447170', '3')
('驻车', '报警', '-1061447170', '3')
('驾驶', '辅助', '-1061447170', '3')
('辅助', '故障', '-1061447170', '3')
('布质', '座椅', '-2078383590', '2')
('织物', '座椅', '-2078383590', '2')
('布', '座椅', '-2078383590', '2')
('针织', '座椅', '-2078383590', '2')
('正面', '安全气囊', '631347063', '2')
('车载', '安全气囊', '631347063', '2')
('帘式', '安全气囊', '631347063', '2')
('座椅', '安全气囊', '631347063', '2')
('侧面', '安全气囊', '631347063', '2')
('方向盘', '灯', '-1832814605', '2')
('方向盘', '背光灯', '-1832814605', '2')
('方向盘', '按键', '-1832814605', '3')
('按键', '背景灯', '-1832814605', '3')
('按键', '灯', '-1832814605', '3')
('按键', '背光', '-1832814605', '3')
('后视镜', '磨损', '-1598410298', '2')
('后视镜', '损坏', '-1598410298', '2')
('后视镜', '故障', '-1598410298', '2')
('主', '驾驶', '-236458228', '5')
('驾驶', '座椅', '-236458228', '5')
('座椅', '头枕', '-236458228', '5')
('头枕', '松动', '-236458228', '5')
('主', '驾驶', '-236458228', '4')
('驾驶', '头枕', '-236458228', '4')
('头枕', '松动', '-236458228', '4')
('座椅', '故障', '-236458228', '2')
('空调', '滤芯', '1250184442', '3')
('滤芯', '异响', '1250184442', '3')
('空调', '故障', '1250184442', '2')
('语音', '控制', '614254746', '3')
('控制', '导航', '614254746', '3')
('语音', '控制系统', '614254746', '2')
('智能', '后视镜', '466271550', '2')
('左右', '后视镜', '466271550', '2')
('PM2.5', '传感器', '-606302332', '5')
('传感器', '故障', '-606302332', '5')
('故障', '报警', '-606302332', '5')
('报警', '灯', '-606302332', '5')
('pm2.5', '传感器', '-606302332', '5')
('故障', '警告', '-606302332', '5')
('警告', '灯', '-606302332', '5')
('三角形', '中间', '-606302332', '7')
('中间', '带', '-606302332', '7')
('带', '感叹号', '-606302332', '7')
('感叹号', '图标', '-606302332', '7')
('图标', '报警', '-606302332', '7')
('报警', '灯', '-606302332', '7')
('pm2.5', '传感器', '-606302332', '4')
('传感器', '故障', '-606302332', '4')
('故障', '灯', '-606302332', '4')
('中间', '有', '-606302332', '7')
('有', '感叹号', '-606302332', '7')
('pm2.5', '故障', '-606302332', '4')
('故障', '报警', '-606302332', '4')
('报警', '灯', '-606302332', '4')
('故障', '警示灯', '-606302332', '4')
('故障', '灯', '-606302332', '2')
('内', '后视镜', '8371236', '4')
('后视镜', '防眩目', '8371236', '4')
('防眩目', '功能', '8371236', '4')
('自动', '防眩目', '8371236', '2')
('防', '炫目', '8371236', '4')
('炫目', '内', '8371236', '4')
('自动', '防', '8371236', '5')
('防', '炫目', '8371236', '5')
('炫目', '内', '8371236', '5')
('内', '后视镜', '8371236', '5')
('自动', '防眩目', '8371236', '3')
('防眩目', '功能', '8371236', '3')
('防眩目', '功能', '8371236', '2')
('内', '后视镜', '8371236', '3')
('后视镜', '防眩目', '8371236', '3')
('后视镜', '防', '8371236', '5')
('炫目', '功能', '8371236', '5')
('自动', '防', '8371236', '3')
('防', '炫目', '8371236', '3')
('后视镜', '防眩目', '8371236', '2')
('电子', '防眩目', '8371236', '3')
('防眩目', '后视镜', '8371236', '3')
('后视镜', '下面', '8371236', '4')
('下面', '拨片', '8371236', '4')
('后视镜', '功能', '8371236', '2')
('后排', '空调', '1439958641', '5')
('空调', '出风口', '1439958641', '5')
('出风口', '有', '1439958641', '5')
('有', '雾气', '1439958641', '5')
('后排', '出风口', '1439958641', '4')
('出风口', '有', '1439958641', '4')
('有', '雾气', '1439958641', '4')
('空调', '故障', '1439958641', '2')
('语音', '控制', '144061010', '4')
('控制', '自动', '144061010', '4')
('自动', '启动', '144061010', '4')
('语音', '控制系统', '144061010', '3')
('控制系统', '故障', '144061010', '3')
('运动', '模式', '-1309654478', '3')
('模式', '失效', '-1309654478', '3')
('驾驶', '辅助', '-1309654478', '3')
('辅助', '故障', '-1309654478', '3')
('中控', '异味', '-1294158266', '2')
('中', '控屏', '-1294158266', '3')
('控屏', '故障', '-1294158266', '3')
('遥控', '关闭', '-1349481259', '3')
('关闭', '天窗', '-1349481259', '3')
('天窗', '一键', '-1349481259', '3')
('一键', '关闭', '-1349481259', '3')
('天窗', '遥控', '-1349481259', '3')
('天窗', '远距离', '-1349481259', '3')
('远距离', '关闭', '-1349481259', '3')
('天窗', '能', '-1349481259', '5')
('能', '一键', '-1349481259', '5')
('一键', '开启', '-1349481259', '5')
('开启', '关闭', '-1349481259', '5')
('车窗', '天窗', '-1349481259', '3')
('天窗', '功能', '-1349481259', '3')
('方向盘', '抖动', '1121773268', '2')
('方向盘', '故障', '1121773268', '2')
('远光灯', '开启', '-1558487210', '3')
('开启', '指示灯', '-1558487210', '3')
('蓝色', '灯', '-1558487210', '4')
('灯', '图标', '-1558487210', '4')
('图标', '指示灯', '-1558487210', '4')
('远光灯', '指示灯', '-1558487210', '2')
('前排', '空调', '786074166', '6')
('空调', '出风口', '786074166', '6')
('出风口', '无法', '786074166', '6')
('无法', '彻底', '786074166', '6')
('彻底', '关闭', '786074166', '6')
('空调', '故障', '786074166', '2')
('左', '近光灯', '-1661988667', '2')
('左', '刹车', '391873678', '3')
('刹车', '灯不亮', '391873678', '3')
('车灯', '故障', '391873678', '2')
('头部', '气囊', '1145594764', '2')
('帘式', '气囊', '1145594764', '2')
('点烟器', '失效', '1697172975', '2')
('点烟器', '不好', '1697172975', '3')
('不好', '使', '1697172975', '3')
('不好', '用', '1697172975', '3')
('点烟器', '不好', '1697172975', '4')
('不好', '使', '1697172975', '4')
('使', '了', '1697172975', '4')
('前轮', '爆胎', '-659564471', '2')
('前面', '轮胎', '-659564471', '3')
('轮胎', '爆胎', '-659564471', '3')
('前排', '轮胎', '-659564471', '3')
('轮胎', '故障', '-659564471', '2')
('左', '后', '-1248579585', '4')
('后', '轮胎', '-1248579585', '4')
('轮胎', '磨损', '-1248579585', '4')
('轮胎', '故障', '-1248579585', '2')
('第三排', '座椅', '1419030429', '3')
('座椅', '异响', '1419030429', '3')
('座椅', '故障', '1419030429', '2')
('故障', '条件', '562307804', '2')
('抬头', '显示', '1359556439', '2')
('发动机', '冒烟', '-1354517531', '2')
('控制器', '冒烟', '-1354517531', '2')
('发动机', '故障', '-1354517531', '2')
('动力', '总成', '-1354517531', '3')
('总成', '故障', '-1354517531', '3')
('收音机', '效果', '46206593', '3')
('效果', '差', '46206593', '3')
('收音机', '故障', '46206593', '2')
('左', '后', '-742889972', '4')
('后', '尾灯', '-742889972', '4')
('尾灯', '灯罩', '-742889972', '4')
('轮胎', '生锈', '1261253159', '2')
('后排', '车胎', '1261253159', '3')
('车胎', '生锈', '1261253159', '3')
('轮胎', '故障', '1261253159', '2')
('后排', '空调', '-794191837', '4')
('空调', '出风', '-794191837', '4')
('出风', '小', '-794191837', '4')
('空调', '故障', '-794191837', '2')
('真皮', '方向盘', '-1408540330', '2')
('尾', '灯不亮', '-229420356', '2')
('车灯', '故障', '-229420356', '2')
('疲劳', '驾驶', '66484928', '3')
('驾驶', '提示', '66484928', '3')
('驾驶', '提醒', '66484928', '3')
('驾驶', '状态', '66484928', '4')
('状态', '检测', '66484928', '4')
('检测', '系统', '66484928', '4')
('驾驶员', '状态', '66484928', '4')
('状态', '监测', '66484928', '4')
('监测', '系统', '66484928', '4')
('驾驶', '预警系统', '66484928', '3')
('大灯', '常亮', '-1642464880', '2')
('车灯', '故障', '-1642464880', '2')
('负离子', '系统', '-705746594', '2')
('空气', '净化器', '-705746594', '2')
('空气净化', '功能', '-705746594', '2')
('空气净化', '装置', '-705746594', '2')
('等离子', '发生器', '-705746594', '2')
('空气净化', '设备', '-705746594', '2')
('主', '驾驶', '1620474164', '5')
('驾驶', '空调', '1620474164', '5')
('空调', '无法', '1620474164', '5')
('无法', '启动', '1620474164', '5')
('空调', '故障', '1620474164', '2')
('收音机', '无法', '1077773855', '3')
('无法', '启动', '1077773855', '3')
('收音机', '故障', '1077773855', '2')
('清洗液', '液位', '1656161631', '6')
('液位', '过', '1656161631', '6')
('过', '低', '1656161631', '6')
('低', '报警', '1656161631', '6')
('报警', '灯', '1656161631', '6')
('清洗液', '液位', '1656161631', '5')
('液位', '过', '1656161631', '5')
('过', '低', '1656161631', '5')
('低', '警示灯', '1656161631', '5')
('低', '警告', '1656161631', '6')
('警告', '灯', '1656161631', '6')
('黄色', '清洗液', '1656161631', '5')
('清洗液', '图标', '1656161631', '5')
('图标', '报警', '1656161631', '5')
('报警', '灯', '1656161631', '5')
('故障', '灯', '1656161631', '2')
('第二排', '空调', '-1969931827', '3')
('空调', '异响', '-1969931827', '3')
('空调', '故障', '-1969931827', '2')
('脚部', '空调', '12165755', '4')
('空调', '不', '12165755', '4')
('不', '制热', '12165755', '4')
('空调', '故障', '12165755', '2')
('免提', '系统', '-1706922620', '2')
('公放', '功能', '-1706922620', '2')
('声音', '外放', '-1706922620', '2')
('常规', '保养', '1193585888', '2')
('常规', '保养', '1193585888', '3')
('保养', '服务', '1193585888', '3')
('一般', '的', '1193585888', '3')
('的', '保养', '1193585888', '3')
('保养', '类型', '1193585888', '2')
('前排', '空调', '-1456246858', '5')
('空调', '出风口', '-1456246858', '5')
('出风口', '有', '-1456246858', '5')
('有', '雾气', '-1456246858', '5')
('前排', '出风口', '-1456246858', '4')
('出风口', '有', '-1456246858', '4')
('有', '雾气', '-1456246858', '4')
('空调', '故障', '-1456246858', '2')
('前', '轮胎', '-182298921', '3')
('轮胎', '磨损', '-182298921', '3')
('前排', '车胎', '-182298921', '3')
('车胎', '磨损', '-182298921', '3')
('轮胎', '故障', '-182298921', '2')
('钥匙', '按钮', '-811183873', '2')
('钥匙', '按键', '-811183873', '2')
('四轮', '定位', '-940162318', '2')
('保养', '事项', '-940162318', '2')
('前排', '空调', '-1440584149', '4')
('空调', '不', '-1440584149', '4')
('不', '制热', '-1440584149', '4')
('空调', '故障', '-1440584149', '2')
('前排', '空调', '-784911025', '4')
('空调', '无法', '-784911025', '4')
('无法', '关闭', '-784911025', '4')
('空调', '故障', '-784911025', '2')
('方向盘', '生锈', '549672358', '2')
('方向盘', '故障', '549672358', '2')
('导航', '屏幕', '1204422980', '3')
('屏幕', '闪烁', '1204422980', '3')
('导航', '故障', '1204422980', '2')
('方向盘', '静音', '1088062024', '4')
('静音', '按键', '1088062024', '4')
('按键', '失效', '1088062024', '4')
('静音', '按钮', '1088062024', '4')
('按钮', '失效', '1088062024', '4')
('方向盘', '故障', '1088062024', '2')
('自动', '驻车', '1477651164', '4')
('驻车', '按键', '1477651164', '4')
('按键', '进水', '1477651164', '4')
('驾驶', '辅助', '1477651164', '3')
('辅助', '故障', '1477651164', '3')
('副驾驶', '座椅', '-1710599092', '3')
('座椅', '加热', '-1710599092', '3')
('座椅', '制热', '-1710599092', '3')
('座椅', '功能', '-1710599092', '2')
('前排', '空调', '-826358491', '5')
('空调', '制热', '-826358491', '5')
('制热', '效果', '-826358491', '5')
('效果', '差', '-826358491', '5')
('空调', '故障', '-826358491', '2')
('语音', '控制', '2083848012', '3')
('控制', '音乐', '2083848012', '3')
('语音', '控制系统', '2083848012', '2')
('雨刮器', '效果', '1003012831', '3')
('效果', '差', '1003012831', '3')
('雨刮器', '刮', '1003012831', '4')
('刮', '不', '1003012831', '4')
('不', '干净', '1003012831', '4')
('雨刷器', '刷', '1003012831', '4')
('刷', '不', '1003012831', '4')
('雨刷', '效果', '1003012831', '3')
('雨刮器', '不好', '1003012831', '3')
('不好', '使', '1003012831', '3')
('雨刮器', '故障', '1003012831', '2')
('左', '大灯', '2110926542', '3')
('大灯', '失效', '2110926542', '3')
('车灯', '故障', '2110926542', '2')
('后排', '空调', '1724347660', '4')
('空调', '出风口', '1724347660', '4')
('出风口', '制热', '1724347660', '4')
('后排', '出风口', '1724347660', '3')
('出风口', '制热', '1724347660', '3')
('空调', '功能', '1724347660', '2')
('蓄电池', '冒烟', '161939419', '2')
('蓄电池', '故障', '161939419', '2')
('第二排', '座椅', '-2004827334', '3')
('座椅', '异响', '-2004827334', '3')
('座椅', '故障', '-2004827334', '2')
('鼓风机', '噪音', '758820333', '3')
('噪音', '大', '758820333', '3')
('空调', '故障', '758820333', '2')
('空调', '面板', '805580586', '3')
('面板', '失效', '805580586', '3')
('面板', '失灵', '805580586', '3')
('面板', '点不动', '805580586', '3')
('空调', '故障', '805580586', '2')
('牌照', '灯', '606953557', '2')
('拍照', '灯', '606953557', '2')
('尾灯', '进水', '-1407524381', '2')
('尾灯', '漏水', '-1407524381', '2')
('车灯', '故障', '-1407524381', '2')
('前', '防爆', '651392067', '4')
('防爆', '胎', '651392067', '4')
('胎', '爆胎', '651392067', '4')
('轮胎', '故障', '651392067', '2')
('副驾驶', '空调', '-1302643349', '5')
('空调', '出风口', '-1302643349', '5')
('出风口', '不出', '-1302643349', '5')
('不出', '风', '-1302643349', '5')
('出风口', '不', '-1302643349', '5')
('不', '吹风', '-1302643349', '5')
('副驾驶', '出风口', '-1302643349', '4')
('出风口', '不出', '-1302643349', '4')
('不出', '风', '-1302643349', '4')
('空调', '故障', '-1302643349', '2')
('底盘', '漏水', '1392844672', '2')
('底盘', '滴水', '1392844672', '2')
('底盘', '故障', '1392844672', '2')
('中', '控屏', '791545766', '3')
('控屏', '开裂', '791545766', '3')
('控屏', '故障', '791545766', '3')
('前', '阅读', '-619365668', '3')
('阅读', '灯', '-619365668', '3')
('前', '挡风玻璃', '875926017', '3')
('挡风玻璃', '模糊', '875926017', '3')
('车窗', '天窗', '875926017', '3')
('天窗', '故障', '875926017', '3')
('电话', '拨打', '134869265', '3')
('拨打', '按键', '134869265', '3')
('蓝牙', '电话', '134869265', '3')
('电话', '零部件', '134869265', '3')
('方向盘', '音乐', '1509394646', '4')
('音乐', '暂停', '1509394646', '4')
('暂停', '按键', '1509394646', '4')
('方向盘', '暂停', '1509394646', '3')
('暂停', '按钮', '1509394646', '3')
('暂停', '按键', '1509394646', '3')
('侧', '气囊', '-2067666083', '2')
('侧边', '气囊', '-2067666083', '2')
('侧方', '安全气囊', '-2067666083', '2')
('第二排', '安全带', '-1817607503', '2')
('中间', '那排', '-1817607503', '3')
('那排', '安全带', '-1817607503', '3')
('二排', '安全带', '-1817607503', '2')
('中间', '一排', '-1817607503', '3')
('一排', '安全带', '-1817607503', '3')
('中排', '安全带', '-1817607503', '2')
('第三排', '空调', '-511783921', '5')
('空调', '出风口', '-511783921', '5')
('出风口', '进', '-511783921', '5')
('进', '异物', '-511783921', '5')
('第三排', '出风口', '-511783921', '4')
('出风口', '进', '-511783921', '4')
('进', '异物', '-511783921', '4')
('空调', '故障', '-511783921', '2')
('电话', '静音', '-1164111655', '2')
('蓝牙', '电话', '-1164111655', '2')
('主', '驾驶', '378480280', '4')
('驾驶', '座椅', '378480280', '4')
('座椅', '加热', '378480280', '4')
('座椅', '制热', '378480280', '4')
('座椅', '功能', '378480280', '2')
('左', '大灯', '-529268339', '2')
('右', '转向灯', '2003990460', '3')
('转向灯', '失效', '2003990460', '3')
('车灯', '故障', '2003990460', '2')
('变速器', '系统故障', '1232348234', '4')
('系统故障', '报警', '1232348234', '4')
('报警', '灯', '1232348234', '4')
('电子', '换挡', '1232348234', '5')
('换挡', '系统故障', '1232348234', '5')
('系统故障', '警告', '1232348234', '5')
('警告', '灯', '1232348234', '5')
('变速器', '系统故障', '1232348234', '3')
('系统故障', '灯', '1232348234', '3')
('系统故障', '警示灯', '1232348234', '3')
('黄色', '齿轮', '1232348234', '7')
('齿轮', '里', '1232348234', '7')
('里', '有', '1232348234', '7')
('有', '感叹号', '1232348234', '7')
('感叹号', '报警', '1232348234', '7')
('报警', '灯', '1232348234', '7')
('齿轮', '里', '1232348234', '8')
('里', '有', '1232348234', '8')
('有', '感叹号', '1232348234', '8')
('感叹号', '黄色', '1232348234', '8')
('黄色', '图标', '1232348234', '8')
('图标', '报警', '1232348234', '8')
('报警', '灯', '1232348234', '8')
('电子', '换挡', '1232348234', '4')
('换挡', '系统故障', '1232348234', '4')
('系统故障', '警示灯', '1232348234', '4')
('系统故障', '灯', '1232348234', '4')
('系统故障', '报警', '1232348234', '5')
('报警', '灯', '1232348234', '5')
('系统故障', '警告', '1232348234', '4')
('警告', '灯', '1232348234', '4')
('故障', '灯', '1232348234', '2')
('蓝牙', '电话', '1938871119', '4')
('电话', '无法', '1938871119', '4')
('无法', '启动', '1938871119', '4')
('蓝牙', '电话', '1938871119', '3')
('电话', '故障', '1938871119', '3')
('方向盘', '喇叭', '1818778658', '3')
('喇叭', '异响', '1818778658', '3')
('方向盘', '故障', '1818778658', '2')
('右', '转向灯', '949889345', '3')
('转向灯', '闪烁', '949889345', '3')
('车灯', '故障', '949889345', '2')
('BSD', '系统故障', '1452482412', '4')
('系统故障', '报警', '1452482412', '4')
('报警', '灯', '1452482412', '4')
('前车', '对', '1452482412', '9')
('对', '后车', '1452482412', '9')
('后车', '发送', '1452482412', '9')
('发送', '电波', '1452482412', '9')
('电波', '黄色', '1452482412', '9')
('黄色', '图标', '1452482412', '9')
('图标', '报警', '1452482412', '9')
('报警', '灯', '1452482412', '9')
('bsd', '系统故障', '1452482412', '3')
('系统故障', '灯', '1452482412', '3')
('前车', '对', '1452482412', '8')
('对', '右下角', '1452482412', '8')
('右下角', '车辆', '1452482412', '8')
('车辆', '发生', '1452482412', '8')
('发生', '信号', '1452482412', '8')
('信号', '报警', '1452482412', '8')
('报警', '灯', '1452482412', '8')
('bsd', '系统故障', '1452482412', '4')
('系统故障', '警告', '1452482412', '4')
('警告', '灯', '1452482412', '4')
('BSD', '系统', '1452482412', '4')
('系统', '报警', '1452482412', '4')
('BSD', '故障', '1452482412', '4')
('故障', '报警', '1452482412', '4')
('系统故障', '警示灯', '1452482412', '3')
('故障', '灯', '1452482412', '2')
('真皮', '方向盘', '320206708', '3')
('方向盘', '套', '320206708', '3')
('方向盘', '皮套', '320206708', '2')
('后排', '安全带', '-1737607514', '2')
('后', '安全带', '-1737607514', '2')
('后面', '安全带', '-1737607514', '2')
('后排', '独立', '-1737607514', '3')
('独立', '安全带', '-1737607514', '3')
('后座', '安全带', '-1737607514', '2')
('雾灯', '磨损', '-1824367722', '2')
('车灯', '故障', '-1824367722', '2')
('LED', '转向灯', '1396684763', '2')
('手套', '箱灯', '-740656488', '2')
('方向盘', '游丝', '-754310016', '3')
('游丝', '异响', '-754310016', '3')
('方向盘', '故障', '-754310016', '2')
('空气', '悬架', '-1057004105', '4')
('悬架', '上升', '-1057004105', '4')
('上升', '指示灯', '-1057004105', '4')
('车子', '下', '-1057004105', '6')
('下', '有', '-1057004105', '6')
('有', '向上', '-1057004105', '6')
('向上', '箭头', '-1057004105', '6')
('箭头', '指示灯', '-1057004105', '6')
('上升', '灯', '-1057004105', '4')
('副驾驶', '靠背', '1587773885', '2')
('左侧', '刹车灯', '-125311310', '3')
('刹车灯', '失效', '-125311310', '3')
('车灯', '故障', '-125311310', '2')
('蓝牙', '钥匙', '554477783', '2')
('蓝牙', '音乐', '217308849', '4')
('音乐', '声音', '217308849', '4')
('声音', '变小', '217308849', '4')
('蓝牙', '电话', '217308849', '3')
('电话', '故障', '217308849', '3')
('音乐', '自动', '327099528', '3')
('自动', '关闭', '327099528', '3')
('音乐', '故障', '327099528', '2')
('AUTOHOLD', '系统故障', '166088708', '4')
('系统故障', '报警', '166088708', '4')
('报警', '灯', '166088708', '4')
('autohold', '系统故障', '166088708', '4')
('系统故障', '警告', '166088708', '4')
('警告', '灯', '166088708', '4')
('圈内', '字母', '166088708', '7')
('字母', 'A', '166088708', '7')
('A', '加', '166088708', '7')
('加', '感叹号', '166088708', '7')
('感叹号', '报警', '166088708', '7')
('报警', '灯', '166088708', '7')
('字母', 'A', '166088708', '8')
('A', '在', '166088708', '8')
('在', '圈内', '166088708', '8')
('圈内', '右边', '166088708', '8')
('右边', '感叹号', '166088708', '8')
('感叹号', '报警', '166088708', '8')
('报警', '灯', '166088708', '8')
('AUTOHOLD', '系统故障', '166088708', '3')
('系统故障', '灯', '166088708', '3')
('autohold', '系统故障', '166088708', '3')
('系统故障', '警示灯', '166088708', '3')
('故障', '灯', '166088708', '2')
('空调', '除雾', '1258617526', '4')
('除雾', '效果', '1258617526', '4')
('效果', '差', '1258617526', '4')
('前窗', '除雾', '1258617526', '4')
('空调', '故障', '1258617526', '2')
('前', '雾灯', '-1654093224', '2')
('前排', '雾灯', '-1654093224', '2')
('近光灯', '效果', '-1512116718', '3')
('效果', '差', '-1512116718', '3')
('近光灯', '亮度', '-1512116718', '3')
('亮度', '暗', '-1512116718', '3')
('车灯', '故障', '-1512116718', '2')
('右', '阅读', '1363169945', '3')
('阅读', '灯', '1363169945', '3')
('后排', '空调', '839512410', '4')
('空调', '出风口', '839512410', '4')
('出风口', '失效', '839512410', '4')
('后排', '出风口', '839512410', '3')
('出风口', '失效', '839512410', '3')
('空调', '故障', '839512410', '2')
('后排', '空调', '-1099385837', '4')
('空调', '有', '-1099385837', '4')
('有', '雾气', '-1099385837', '4')
('空调', '故障', '-1099385837', '2')
('制动', '盘', '-1465941118', '2')
('刹车', '控制', '-1465941118', '3')
('控制', '盘', '-1465941118', '3')
('后排', '空调', '-849285440', '4')
('空调', '无法', '-849285440', '4')
('无法', '关闭', '-849285440', '4')
('空调', '故障', '-849285440', '2')
('空调', 'auto', '1882804991', '4')
('auto', '无法', '1882804991', '4')
('无法', '关闭', '1882804991', '4')
('auto', '无法', '1882804991', '3')
('无法', '关闭', '1882804991', '3')
('空调', '故障', '1882804991', '2')
('发动机', '开关', '-1572193220', '2')
('启动', '开关', '-1572193220', '2')
('控制器', '开关', '-1572193220', '2')
('点火', '开关', '-1572193220', '2')
('五次', '保养', '-1267585950', '2')
('45000km', '保养', '-1267585950', '2')
('45000', '公里', '-1267585950', '3')
('公里', '保养', '-1267585950', '3')
('五保', '服务', '-1267585950', '2')
('第五次', '保养', '-1267585950', '2')
('第五次', '保养', '-1267585950', '3')
('保养', '服务', '-1267585950', '3')
('保养', '类型', '-1267585950', '2')
('方向盘', '灯不亮', '739813871', '2')
('方向盘', '故障', '739813871', '2')
('泊车', '雷达', '-393777123', '3')
('雷达', '无声', '-393777123', '3')
('驾驶', '辅助', '-393777123', '3')
('辅助', '故障', '-393777123', '3')
('蓝牙', '卡住', '-1882770895', '2')
('蓝牙', '电话', '-1882770895', '3')
('电话', '故障', '-1882770895', '3')
('故障', '条件', '1893333114', '2')
('变速箱', '换挡', '-1905231838', '3')
('换挡', '困难', '-1905231838', '3')
('变速箱', '换挡', '-1905231838', '4')
('换挡', '不', '-1905231838', '4')
('不', '顺畅', '-1905231838', '4')
('变速箱', '挂不上', '-1905231838', '2')
('变速箱', '挂挡', '-1905231838', '4')
('挂挡', '难', '-1905231838', '4')
('难', '操作', '-1905231838', '4')
('换挡', '不好', '-1905231838', '4')
('不好', '操作', '-1905231838', '4')
('变速箱', '挂挡', '-1905231838', '3')
('挂挡', '困难', '-1905231838', '3')
('变速箱', '不好', '-1905231838', '3')
('不好', '换挡', '-1905231838', '3')
('动力', '总成', '-1905231838', '3')
('总成', '故障', '-1905231838', '3')
('空调', '面板', '2015554555', '4')
('面板', '有', '2015554555', '4')
('有', '竖线', '2015554555', '4')
('面板', '有根', '2015554555', '4')
('有根', '竖线', '2015554555', '4')
('空调', '故障', '2015554555', '2')
('座椅', '钢板', '-1488030984', '2')
('座椅', '按摩', '-1071554882', '3')
('按摩', '失效', '-1071554882', '3')
('座椅', '故障', '-1071554882', '2')
('中', '控屏', '-1664205628', '3')
('控屏', '卡住', '-1664205628', '3')
('控屏', '故障', '-1664205628', '3')
('中', '控屏', '-1192152421', '3')
('控屏', '屏保', '-1192152421', '3')
('中', '控屏', '-1192152421', '2')
('保养', '记录', '1918482737', '2')
('保养', '事项', '1918482737', '2')
('第三排', '座椅', '-1653844230', '3')
('座椅', '头枕', '-1653844230', '3')
('第三排', '头枕', '-1653844230', '2')
('空调', 'DUAL', '-88098819', '3')
('DUAL', '按钮', '-88098819', '3')
('DUAL', '按钮', '-88098819', '2')
('DUAL', '旋钮', '-88098819', '2')
('LED', '灯泡', '-403991553', '2')
('空调', '外', '-1619710674', '4')
('外', '循环', '-1619710674', '4')
('循环', '灯', '-1619710674', '4')
('手动', '后备箱', '-1182899125', '2')
('车后', '行李箱', '-1182899125', '2')
('后', '车厢', '-1182899125', '2')
('电动', '后备箱', '-1182899125', '2')
('后视镜', 'usb', '-615806625', '3')
('usb', '接口', '-615806625', '3')
('轮胎', '异响', '-916312169', '2')
('车轮', '有', '-916312169', '3')
('有', '声音', '-916312169', '3')
('车轮', '咔', '-916312169', '5')
('咔', '咔', '-916312169', '5')
('咔', '的', '-916312169', '5')
('的', '声音', '-916312169', '5')
('车胎', '异响', '-916312169', '2')
('车轮', '咔', '-916312169', '4')
('咔', '咔', '-916312169', '4')
('咔', '声音', '-916312169', '4')
('前', '轮胎', '-916312169', '8')
('轮胎', '咔', '-916312169', '8')
('咔', '咔', '-916312169', '8')
('咔', '的', '-916312169', '8')
('的', '声音', '-916312169', '8')
('车胎', '咔', '-916312169', '5')
('轮胎', '故障', '-916312169', '2')
('导航', '语音', '-964014158', '4')
('语音', '播报', '-964014158', '4')
('播报', '无声', '-964014158', '4')
('导航', '故障', '-964014158', '2')
('无线', '充电', '553785804', '2')
('充电', '口锁', '553785804', '2')
('直流', '充电', '553785804', '2')
('充电', '功能', '553785804', '2')
('手机', '充电', '553785804', '2')
('充电', '口', '553785804', '2')
('手机', '快充', '553785804', '2')
('无线', '充电', '553785804', '3')
('充电', '系统', '553785804', '3')
('直流', '快充', '553785804', '2')
('车载', '充电机', '553785804', '2')
('车载', '充电器', '553785804', '2')
('双向', '车载', '553785804', '3')
('车载', '充电机', '553785804', '3')
('充电', '口盖', '553785804', '2')
('后排', '座椅', '1462746931', '3')
('座椅', '折叠', '1462746931', '3')
('后面', '座椅', '1462746931', '3')
('座椅', '功能', '1462746931', '2')
('蓄电池', '能耗', '246684169', '3')
('能耗', '高', '246684169', '3')
('蓄电池', '故障', '246684169', '2')
('发动机', '异常', '1381696615', '2')
('引擎', '异常', '1381696615', '2')
('动力', '总成', '1381696615', '3')
('总成', '故障', '1381696615', '3')
('左示', '廓灯', '-1596939897', '2')
('离合器', '抖动', '856023497', '2')
('离合', '抖动', '856023497', '2')
('动力', '总成', '856023497', '3')
('总成', '故障', '856023497', '3')
('座椅', '发霉', '-1527485906', '2')
('座椅', '故障', '-1527485906', '2')
('铁', '电池', '1423841851', '2')
('音乐', '暂停', '1369735858', '3')
('暂停', '按键', '1369735858', '3')
('音乐', '播放', '1369735858', '3')
